"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.667245	0	1.04783	0.95	0	0.0551557	0.000135917	10.3366	-0.0682584	13.8777	38.9635	111.603	25.1037	26.7932	31.3847	170.401	175.011	64.4498	275.811	268.808	72.0813
0.71335	0	1.06375	0.97319	0	0.072562	0.000225825	11.7474	-0.0569111	16.7627	46.4413	154.703	16.0223	15.3802	5.63864	223.713	230.485	58.7836	271.45	258.135	57.1314
0.791788	0	1.07707	0.96748	0	0.0732758	0.000172427	8.82561	-0.0704278	14.4494	37.4949	99.648	14.1398	14.4454	6.5361	189.045	183.861	62.4087	292.843	282.13	78.2632
0.670274	2	1.06677	0.937378	0.0023367	0.0716754	0.000255119	13.8849	-0.0500777	18.7099	52.9875	198.948	58.5589	52.2693	41.9518	248.94	248.288	64.8453	308.614	285.559	60.9887
0.369576	1	1.09988	0.940631	0.0197407	0.131056	0.00136169	16.0668	-0.0470592	17.291	57.1952	213.161	21.6548	22.2663	10.5359	262.306	261.708	59.6936	352	353.116	64.803
0.623608	0	1.02858	0.984	0	0.041858	6.38928e-05	14.344	-0.0505754	18.3489	52.154	206.509	18.9541	24.0183	39.6963	245.853	257.291	93.8367	256.832	236.061	38.7323
0.626266	1	1.06111	0.957589	0.000233095	0.0689913	0.000234016	13.5061	-0.0534946	17.3242	49.7115	176.81	15.4112	16.9277	7.85719	214.233	212.69	54.4829	339.759	335.068	50.0306
0.771748	2	1.08321	0.9664	0.00189622	0.065754	0.000144648	14.3906	-0.0438012	22.6292	60.3888	254.135	69.7677	61.2831	30.0079	210.143	231.861	64.9746	312.989	320.639	68.6728
0.609668	0	1.03417	0.967742	0	0.0530578	0.000134002	12.8909	-0.0565031	16.263	46.5971	163.199	19.2176	18.9359	8.95022	171.399	184.831	62.9429	309.04	309.91	57.0534
0.605561	0	1.04349	0.961415	0	0.0441523	0.000125347	11.3133	-0.0645297	14.2163	41.3944	126.165	21.8542	22.0803	11.3493	142.33	134.699	47.7555	555.317	537.425	107.731
0.731939	1	1.06061	0.972835	0.000647839	0.0602787	0.000159024	14.4658	-0.045677	21.2305	57.7851	241.022	17.9563	17.7452	7.64908	217.608	218.853	50.4056	297.204	275.745	41.2279
0.585869	1	1.03604	0.963149	8.96928e-05	0.0493535	0.000129026	15.8087	-0.0468175	19.5071	56.4934	238.568	81.9843	85.2174	50.9248	280.21	295.638	109.755	331.791	303.936	66.4748
0.699719	0	1.03483	0.965116	0	0.0471439	5.69134e-05	12.5874	-0.0546025	17.619	48.125	174.491	24.9969	29.8843	26.1984	2.22249	2.25783	1.47066	545.995	512.4	80.5314
0.531309	3	1.08248	0.935484	0.00657132	0.0948281	0.000477107	15.1788	-0.0486398	17.9169	54.6703	204.691	42.2764	34.9128	71.0894	207.996	211.215	51.3199	369.994	350.846	52.1114
0.489404	1	1.05468	0.963124	0.000330222	0.0694001	0.000247751	14.539	-0.0520643	16.672	50.9324	187.867	20.9396	25.1261	21.4025	215.128	220.613	42.1286	309.93	292.806	44.7739
0.561478	0	1.02922	0.975518	0	0.0410325	0.000103424	15.1281	-0.049496	18.2818	53.5394	216.739	12.2771	12.2471	4.93838	329.031	335.82	117.329	314.961	308.324	52.6333
0.704634	1	1.05868	0.957143	0.000338213	0.0632502	0.000176937	13.3808	-0.0507153	18.8576	52.1813	197.044	10.5922	10	11.3755	166.533	178.554	48.2607	217.172	217.249	35.9759
0.290659	0	1.01921	0.969543	0	0.0383375	7.28714e-05	17.1535	-0.0470854	17.9275	56.0518	241.497	56.8559	55.8621	54.5957	353.095	336.583	149.312	264.916	243.977	60.2795
