"Eccentricity"	"Invaginations"	"Circularity"	"Solidity"	"MNC"	"STD_Curvature"	"Tortuosity"	"Minor_Axis_Length"	"Mean_Curvature"	"Major_Axis_Length"	"Perimeter"	"Area"	"BPintensity.gamma"	"meanIntensity.gamma"	"stdIntensity.gamma"	"BPintensity.progerin"	"meanIntensity.progerin"	"stdIntensity.progerin"	"BPintensity.lamin"	"meanIntensity.lamin"	"stdIntensity.lamin"
0.619475	0	1.04209	0.966102	0	0.064617	0.000220166	9.86221	-0.0734429	12.5631	35.8721	95.4889	12.9901	14.0263	8.40176	16.8802	16.5482	5.05236	328.061	313.132	74.4541
0.524758	0	1.01874	0.963115	0	0.0370903	6.81696e-05	10.3609	-0.0738521	12.1713	35.6789	98.1939	18.2034	17.9745	11.5784	13.8931	13.4894	3.85236	350.266	326.647	95.9742
0.619991	0	1.03315	0.963816	0	0.0534296	0.000141618	11.1301	-0.0656204	14.1856	40.2187	121.579	18.8593	21.7304	15.838	7.22174	7.24232	2.12438	396.444	373.829	103.705
0.733108	0	1.05477	0.966942	0	0.053753	8.93286e-05	11.2941	-0.0591586	16.6062	44.7528	146.826	154.269	160.211	49.1327	17.5883	16.5783	5.5861	387.305	353.507	142.144
0.813	0	1.07598	0.952381	0	0.0764105	0.000154155	8.67107	-0.0699654	14.892	37.5446	100.278	16.5101	16.3417	16.534	14.6465	14.3333	3.31936	259.37	247.5	83.2372
0.674013	0	1.02999	0.986264	0	0.0440018	4.67275e-05	11.8965	-0.0590897	16.1042	44.4806	150.362	27.0885	23.2507	26.851	21.4802	21.585	3.69703	689.33	649.855	79.0997
0.810318	0	1.07658	0.974638	0	0.0708948	0.000120992	9.1762	-0.0661712	15.6593	39.7485	112.706	15.768	15.2862	8.9703	22.1784	22.3086	4.93063	724.642	704.156	124.589
0.745518	0	1.05425	0.967366	0	0.0581629	8.05125e-05	12.1868	-0.054178	18.2852	48.5541	172.485	11.2885	15.0795	17.0457	54.2307	54.5687	10.0976	460.862	437.653	54.2791
0.713507	0	1.03725	0.980583	0	0.0470088	5.17701e-05	12.2946	-0.0554823	17.5475	47.3731	168.824	22.9612	23.3713	40.7415	22.387	21.9332	3.82469	671.711	628.5	75.0781
0.822256	2	1.14944	0.911023	0.0207403	0.108648	0.000392046	14.778	-0.0382888	25.9665	68.7033	287.629	13.3888	14.2988	6.04988	66.7112	66.7595	43.738	470.497	463.72	132.487
0.789046	0	1.06981	0.971963	0	0.0628394	9.56586e-05	11.6885	-0.0532648	19.0263	49.3806	174.868	10.7247	10.2404	10.1628	28.3638	27.6659	5.62493	432.776	394.851	72.2503
0.588766	0	1.01581	0.962209	0	0.0323563	2.969e-05	11.9612	-0.0617661	14.7979	42.5409	140.469	11.3249	12.2387	4.95193	24.962	24.2356	3.75202	581.873	540.541	77.1889
0.648958	0	1.02445	0.974227	0	0.0406791	4.37552e-05	12.401	-0.0580304	16.2995	45.2695	157.002	110.276	118.23	57.565	15.1655	14.6852	2.49218	638.806	606.574	89.8551
0.777969	0	1.06784	0.980322	0	0.0566435	8.26299e-05	13.5556	-0.0469257	21.5749	56.2399	227.914	18.3761	26.854	52.0118	9.36356	9.21533	2.26434	527.799	493.13	77.7689
0.740574	0	1.0436	0.978972	0	0.0490672	5.56533e-05	12.2558	-0.0541647	18.2385	48.5564	175.954	34.8722	33.5752	17.5214	49.9516	50.3532	8.28091	508.767	490.134	57.3579
0.66976	0	1.03293	0.970183	0	0.0471993	6.24518e-05	12.9695	-0.0540833	17.4655	48.6017	178.487	27.4867	28.1324	14.0659	43.0722	41.3286	5.69637	385.695	353.026	70.9534
0.64047	0	1.0234	0.981982	0	0.0358915	3.45853e-05	13.367	-0.0539923	17.4053	48.7282	182.099	19.6299	17.0803	31.7668	15.4343	16.1101	3.57215	520.785	502.58	66.3
0.56276	0	1.01367	0.980645	0	0.0290261	3.02818e-05	14.1811	-0.0530094	17.1555	49.5579	191.204	21.8357	20.4715	22.7669	27.1744	26.3925	5.76818	513.482	468.265	81.5043
0.6691	0	1.02886	0.976077	0	0.0482841	8.4843e-05	9.01283	-0.0787565	12.1275	33.4047	84.9139	68.8646	68.7108	33.208	19.0836	18.7549	4.3548	713.527	679.77	103.994
